GeneID,Symbol,Description,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
6489,ST8SIA1,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",62.13984302457428,1.1826241232582126,0.2895812460325889,4.0839113010969035,4.4283939891231694e-5,0.0015850004829835035
27147,DENND2A,DENN domain containing 2A,65.06142342686107,1.0132782669514624,0.25411448080650373,3.987487307828893,6.677677558870638e-5,0.0022231853530456256
100129781,MIR193BHG,MIR193b-365a host gene,46.14641168044566,1.1052463410629798,0.2853705969158661,3.873021092599923,1.074945205591435e-4,0.0032159094516290188
140733,MACROD2,mono-ADP ribosylhydrolase 2,25.466841935485842,1.372389662016683,0.36917106396638844,3.7174897925955372,2.0121211387022644e-4,0.005292379834928269
105369151,LOC105369151,uncharacterized LOC105369151,21.85455641210696,1.5674398569839847,0.42414339774479676,3.69554227489614,2.194179655086945e-4,0.005630965913454031
1117,CHI3L2,chitinase 3 like 2,36.85371446316033,1.537170317793651,0.42240068544905535,3.639128369688797,2.73562414164609e-4,0.006750917539534642
102724550,LINC02015,long intergenic non-protein coding RNA 2015,41.74689421646427,1.0544473189284815,0.2906510710552472,3.6278803828252584,2.8575758928335034e-4,0.007005089029496658
128497,SPATA25,spermatogenesis associated 25,44.76511072879923,1.011277310234308,0.279625322905598,3.616544094526507,2.985624777412621e-4,0.0072707587248292205
109623452,SNORD159,"small nucleolar RNA, C/D box 159",31.32473162723783,1.3078498646909804,0.3734524823117904,3.5020516039817733,4.616901874351215e-4,0.010340461137372676
3696,ITGB8,integrin subunit beta 8,42.42325259782004,1.0897632923639746,0.3153212837179883,3.4560410242989454,5.481718842149698e-4,0.011986799988854562
8857,FCGBP,Fc gamma binding protein,70.2489487943414,1.141989500404837,0.3323611583119505,3.4359896511522514,5.903935240612278e-4,0.012740433682734408
124,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",42.47940204994567,1.0177919334744552,0.30208457411009626,3.369228423770873,7.53789319936319e-4,0.01563477997917423
3356,HTR2A,5-hydroxytryptamine receptor 2A,28.705848640873263,1.1178665532356513,0.3460718392651876,3.2301575176102486,0.0012372203395607088,0.02300451705583195
29091,STXBP6,syntaxin binding protein 6,31.503918211086262,1.2194494887975476,0.3809736130479384,3.2008765096392717,0.0013701023794992749,0.024662918118550474
7038,TG,thyroglobulin,33.46338848538987,1.0776133614769519,0.34250763981484195,3.146246203616085,0.0016538072481783342,0.028588981262993158
58494,JAM2,junctional adhesion molecule 2,30.652645315159088,1.141653686424127,0.3662179762336137,3.117415748307931,0.0018244408586538569,0.030724559254339843
50486,G0S2,G0/G1 switch 2,25.357989269609103,1.139668184941774,0.36986338183572703,3.081322025676908,0.0020608363504692074,0.03391624953540669
6534,SLC6A7,solute carrier family 6 member 7,38.13225024079591,1.2621243356390863,0.41845072311638487,3.016183903900312,0.0025597795557277562,0.0400409115267383
