GeneID,Symbol,Description,baseMean,log2FoldChange,lfcSE,pvalue,padj
10161,LPAR6,lysophosphatidic acid receptor 6,158.9087258272427,-0.042560349624798564,0.1190235450296593,0.5505602841971464,0.8390084660827029
1102,RCBTB2,RCC1 and BTB domain containing protein 2,519.9464348299409,0.19520327356355271,0.11043420755151916,0.021499740032472795,0.17616915585366566
22862,FNDC3A,fibronectin type III domain containing 3A,3051.247021274854,-0.07162175745411464,0.09541194129202045,0.34038743340795485,0.712389500302476
81602,CDADC1,cytidine and dCMP deaminase domain containing 1,241.60200000234343,-0.020599378643868273,0.1044857049305357,0.7751714423001357,0.9278512376713196
81617,CAB39L,calcium binding protein 39 like,236.8156624224434,-0.02853483801417028,0.10354801457279672,0.6941850605544306,0.9000476769683005
107303344,SETDB2-PHF11,SETDB2-PHF11 readthrough,258.9244544739014,0.02471001043285587,0.10925933628844514,0.7329575771268939,0.9153612528809949
83852,SETDB2,SET domain bifurcated histone lysine methyltransferase 2,210.42608107617974,0.019986285042618065,0.1093788946712444,0.7801796068693121,0.9300832386193919
51131,PHF11,PHD finger protein 11,150.08561663995175,0.05145696554343867,0.11928983658961077,0.48164530723497617,0.8043079290348089
55213,RCBTB1,RCC1 and BTB domain containing protein 1,803.6562483387553,0.01521621592496956,0.09015620826826903,0.8298399492401374,0.9477062108225547
84650,EBPL,EBP like,463.47948496296465,-0.14760724353269578,0.16531403179025972,0.09790942220317495,0.41624880040475465
3839,KPNA3,karyopherin subunit alpha 3,1769.7476931882725,-0.23639474735457955,0.09745761261321413,0.003412620359402376,0.048940033649527835
57213,SPRYD7,SPRY domain containing 7,357.2118657108947,-0.285552901473668,0.15863250608561905,0.00905680311058151,0.09872984039868427
8847,DLEU2,deleted in lymphocytic leukemia 2,69.02152458648784,-1.0354800702356543e-5,0.12285500452593778,0.9983757052322068,0.999525206552149
10206,TRIM13,tripartite motif containing 13,713.7597312344882,0.09175174911987172,0.09725428097496513,0.21994892583966275,0.6063581477763219
283518,KCNRG,potassium channel regulator,55.984162977217835,0.13063497929464007,0.18350057676394427,0.1002770763274068,0.4218257661558701
10301,DLEU1,deleted in lymphocytic leukemia 1,170.1679169422686,-0.03180698164570887,0.11704594551425773,0.6512342559569742,0.8842238239695042
145165,ST13P4,"ST13, Hsp70 interacting protein pseudogene 4",83.41339752252699,0.025120199239672476,0.12579988939843822,0.6967097833897655,0.9016603062570053
79621,RNASEH2B,ribonuclease H2 subunit B,240.49881764664852,-0.027413706979764075,0.10413061508190244,0.7053930174178888,0.9047410015810853
220108,FAM124A,family with sequence similarity 124 member A,32.725643690665265,0.047284348349767955,0.1434330919611571,0.3627361314834372,0.7329784371205131
647174,SERPINE3,serpin family E member 3,78.18570418632883,0.055925161884080754,0.1326815854678649,0.4123622967224052,0.7620500274226377
26512,INTS6,integrator complex subunit 6,843.822141566178,-0.03078253463366007,0.09127927837571384,0.6638968780926078,0.888617988694659
100507398,INTS6-AS1,INTS6 antisense RNA 1,62.53810991129329,0.09112239412720824,0.15340318750088494,0.2007219856703567,0.5853467929055611
