GeneID,Symbol,Description,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
387755,INSC,INSC spindle orientation adaptor protein,26.63491298698663,0.0543649823796852,0.3618406198567774,0.15024565898987177,0.8805708040444341,0.9641210003247778
727910,TLCD2,TLC domain containing 2,511.03868136809524,-0.02011448400067118,0.1341322689098546,-0.14996006676208087,0.8807961210278167,0.9642453107832072
388389,CCDC103,coiled-coil domain containing 103,31.34733058147397,0.05922214599710258,0.3949818144735132,0.14993638650438149,0.880814803917308,0.9642453107832072
161424,NOP9,NOP9 nucleolar protein,985.3925663083276,-0.016790857966169814,0.11212499354253776,-0.14975125024020386,0.880960872196499,0.9642623926552127
23604,DAPK2,death associated protein kinase 2,112.78720061199353,-0.034861265984611894,0.23274984619302125,-0.14977997431500417,0.8809382092927339,0.9642623926552127
219348,PLAC9,placenta associated 9,104.21764837367117,-0.03395993184920435,0.2269351274201287,-0.14964599017909544,0.8810439217839799,0.9642818933667104
163259,DENND2C,DENN domain containing 2C,76.24337287188166,0.036609846165298346,0.2448316853927642,0.14953067086299737,0.881134909567892,0.9643100787171526
64419,MTMR14,myotubularin related protein 14,395.54557964982354,-0.024514014314740408,0.16458964933331544,-0.14894019407682402,0.88160082463063,0.9647485482447419
23623,RUSC1,RUN and SH3 domain containing 1,633.7009735100974,0.01919433678772513,0.13008464232253708,0.14755267374402217,0.8826958070273891,0.9649074970858827
130507,UBR3,ubiquitin protein ligase E3 component n-recognin 3,1519.3134070536541,-0.016211990380941187,0.1094569994387012,-0.1481128704795195,0.8822536923030481,0.9649074970858827
27065,NSG1,neuronal vesicle trafficking associated 1,75.75605660919581,-0.03530476204773731,0.237979948639209,-0.1483518348903475,0.8820651095607027,0.9649074970858827
54510,PCDH18,protocadherin 18,4912.924724770501,0.014389705825282116,0.09754713189629154,0.14751541686105865,0.8827252119532129,0.9649074970858827
2296,FOXC1,forkhead box C1,723.9619311585063,-0.021250695805754748,0.14295451836118916,-0.14865354414375836,0.8818270202315456,0.9649074970858827
57531,HACE1,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,270.31542932166565,-0.022412819458335568,0.1514245348726972,-0.1480131306143886,0.8823324056527525,0.9649074970858827
10922,FASTK,Fas activated serine/threonine kinase,856.9420422024725,0.018109738966587345,0.12245610158539659,0.14788759998176365,0.8824314743781143,0.9649074970858827
101926917,ANKRD18CP,"ankyrin repeat domain 18C, pseudogene",94.08418490164138,0.030216500892404623,0.2036304725202807,0.14838889542622455,0.8820358632204836,0.9649074970858827
4255,MGMT,O-6-methylguanine-DNA methyltransferase,192.47420600295996,-0.030476674973476225,0.20643488899423457,-0.14763335365432048,0.8826321311118225,0.9649074970858827
5977,DPF2,double PHD fingers 2,963.9627277346642,-0.019463881771325013,0.13108667755281106,-0.14848100611508422,0.881963174721528,0.9649074970858827
51065,RPS27L,ribosomal protein S27 like,1742.064748660307,-0.02077819997710187,0.1401743650396781,-0.14823109754212435,0.8821603906138061,0.9649074970858827
100306951,PITPNA-AS1,PITPNA antisense RNA 1,44.281554610715574,-0.04662928075885177,0.31533625102940627,-0.14787161516201136,0.8824440897235489,0.9649074970858827
9144,SYNGR2,synaptogyrin 2,506.47707047698447,-0.030297200568950126,0.20481780571928232,-0.1479226889603272,0.8824037819849202,0.9649074970858827
84444,DOT1L,DOT1 like histone lysine methyltransferase,687.1048223418991,-0.036537991372985724,0.24761739662247303,-0.14755825669507763,0.882691400707542,0.9649074970858827
30000,TNPO2,transportin 2,1623.956484379092,0.016940920786144995,0.11462484331386294,0.1477944945997246,0.8825049542966149,0.9649074970858827
60489,APOBEC3G,apolipoprotein B mRNA editing enzyme catalytic subunit 3G,170.31164789436912,-0.027199237642518886,0.18463650015735542,-0.14731235492082276,0.882885481052916,0.9650113265989503
1286,COL4A4,collagen type IV alpha 4 chain,1712.5591899984183,0.0143942125966424,0.09782534293230734,0.14714195897685564,0.8830199718185114,0.9650654801692847
113939925,BMS1P4-AGAP5,BMS1P4-AGAP5 readthrough,174.31096304801557,0.03724505018172911,0.2534057743658696,0.14697790638327904,0.8831494590662606,0.9650654801692847
56890,MDM1,Mdm1 nuclear protein,193.84782750977354,-0.02462702706427531,0.1675633798937647,-0.14697141511402348,0.8831545827105158,0.9650654801692847
23510,KCTD2,potassium channel tetramerization domain containing 2,524.2769057012215,-0.018703473801042897,0.12730490161732522,-0.14691872475786508,0.8831961720829443,0.9650654801692847
25920,NELFB,negative elongation factor complex member B,790.5040555020294,0.01896340155275975,0.12928958881203234,0.14667384842819547,0.8833894612565263,0.9650785644453702
8858,PROZ,"protein Z, vitamin K dependent plasma glycoprotein",24.712338935335584,-0.06291728363610066,0.4290143802989919,-0.14665541885158226,0.8834040086260522,0.9650785644453702
100529063,BCL2L2-PABPN1,BCL2L2-PABPN1 readthrough,1529.954258984109,0.019476710930427868,0.1326745397977564,0.14680066695627786,0.8832893582333772,0.9650785644453702
54802,TRIT1,tRNA isopentenyltransferase 1,294.3604608256545,-0.02492871267480127,0.17047863644160632,-0.14622778076559784,0.8837415753911274,0.9651620219750016
100505678,STARD4-AS1,STARD4 antisense RNA 1,252.82571438650137,0.03176919445005337,0.21724603944239126,0.14623601208839457,0.8837350775921935,0.9651620219750016
93233,ODAD1,outer dynein arm docking complex subunit 1,24.391527357234573,0.05375158317114322,0.36734925602567753,0.14632283117346512,0.883666543159637,0.9651620219750016
29903,CCDC106,coiled-coil domain containing 106,186.50574112817,-0.02685779033930341,0.1835415642135192,-0.14633083494951024,0.883660225073649,0.9651620219750016
56288,PARD3,par-3 family cell polarity regulator,769.9954399416704,0.01725375601712631,0.11814051734912799,0.14604435805997137,0.8838863711408249,0.9652279236315756
10897,YIF1A,"Yip1 interacting factor homolog A, membrane trafficking protein",861.6677336706091,-0.026267911758706873,0.18003657802990192,-0.1459031939295363,0.8839978101829435,0.9652279236315756
27349,MCAT,malonyl-CoA-acyl carrier protein transacylase,135.47333743421174,-0.03604900488963964,0.24701229184344561,-0.1459401255727274,0.8839686550552486,0.9652279236315756
254887,ZDHHC23,zinc finger DHHC-type palmitoyltransferase 23,81.84901888149653,0.032634057949771374,0.22436665824404517,0.14544967690464544,0.8843558451435666,0.9655475369607949
800,CALD1,caldesmon 1,18671.372564593137,-0.01264097903683199,0.08708122740237205,-0.14516307835697384,0.8845821163074555,0.9656821706979375
3607,FOXK2,forkhead box K2,1013.3354834712667,0.01669737929050455,0.11505277879552832,0.1451279966056197,0.8846098141943425,0.9656821706979375
100861513,ZMYM4-AS1,ZMYM4 antisense RNA 1,40.09554206916461,-0.04124799725454669,0.2846336506477445,-0.14491609534107472,0.884777118339005,0.9657221711058976
